"統計名：","令和７年国勢調査 速報集計 人口速報集計　（男女別人口及び世帯総数）"
"表番号：","1-2"
"表題：","2020年（令和２年）の人口（組替）、世帯数、2020年（令和２年）の世帯数（組替）、5年間の人口増減数、5年間の人口増減率、5年間の世帯増減数、5年間の世帯増減率、人口性比、面積（参考）及び人口密度－全国、都道府県、市区町村"
"実施年月：","2025年","10月"
"市区町村時点（年月日）：","-"

"***","当該数値がないもの"
"-","当該数値がないもの"

"","","","","","","/表章事項 コード","2025_03","2025_13","2025_15","2025_34","2025_35","2025_36","2025_37","2025_46","2025_47","2025_48"
"","","","","","","/表章事項 補助コード","-","-","-","-","-","-","-","-","-","-"
"時間軸（年次） コード","時間軸（年次） 補助コード","時間軸（年次）","全国、都道府県、市区町村 コード","全国、都道府県、市区町村 補助コード","全国、都道府県、市区町村","/表章事項","2020年（令和2年）の人口（組替）【人】","世帯数【世帯】","2020年（令和2年）の世帯数（組替）【世帯】","5年間の人口増減数【人】","5年間の人口増減率【％】","5年間の世帯増減数【世帯】","5年間の世帯増減率【％】","人口性比","面積（参考）【km2】","人口密度【1km2当たり】"
"2025000000","","2025年","09344","","市貝町","","11,262","4,068","4,260","-745","-6.61517","-192","-4.50704","102.63969","64.25","163.7"
"2025000000","","2025年","09345","","芳賀町","","14,961","5,684","5,230","-152","-1.01597","454","8.68069","104.37483","70.16","211.1"
"2025000000","","2025年","09361","","壬生町","","39,474","16,076","15,894","-1,427","-3.61504","182","1.14509","96.70665","61.06","623.1"
"2025000000","","2025年","09364","","野木町","","24,913","10,280","9,841","-379","-1.52129","439","4.46093","98.72023","30.27","810.5"
"2025000000","","2025年","09384","","塩谷町","","10,354","3,525","3,623","-1,243","-12.00502","-98","-2.70494","100.55030","176.06","51.7"
"2025000000","","2025年","09386","","高根沢町","","29,229","12,538","12,205","-749","-2.56252","333","2.72839","110.90047","70.87","401.9"
"2025000000","","2025年","09407","","那須町","","23,956","9,332","9,110","-1,745","-7.28419","222","2.43688","97.85320","372.34","59.7"
"2025000000","","2025年","09411","","那珂川町","","15,215","5,367","5,682","-1,845","-12.12619","-315","-5.54382","101.62871","192.78","69.4"
"2025000000","","2025年","10000","","群馬県","","1,939,110","816,104","805,252","-71,528","-3.68870","10,852","1.34765","97.71351","6,362.28","293.5"
"2025000000","","2025年","10201","","前橋市","","332,149","145,003","141,882","-7,595","-2.28662","3,121","2.19972","95.37087","311.59","1,041.6"
"2025000000","","2025年","10202","","高崎市","","372,973","163,628","160,981","-9,172","-2.45916","2,647","1.64429","95.66663","459.16","792.3"
"2025000000","","2025年","10203","","桐生市","","106,445","43,327","44,971","-9,222","-8.66363","-1,644","-3.65569","93.19794","274.45","354.2"
"2025000000","","2025年","10204","","伊勢崎市","","211,850","89,391","86,200","-3,587","-1.69318","3,191","3.70186","100.08358","139.44","1,493.6"
"2025000000","","2025年","10205","","太田市","","223,014","95,441","92,531","-3,575","-1.60304","2,910","3.14489","104.58224","175.54","1,250.1"
"2025000000","","2025年","10206","","沼田市","","45,337","18,398","18,853","-4,050","-8.93310","-455","-2.41341","95.10893","443.46","93.1"
"2025000000","","2025年","10207","","館林市","","75,309","32,448","31,643","-2,474","-3.28513","805","2.54401","99.87102","60.97","1,194.6"
"2025000000","","2025年","10208","","渋川市","","74,581","29,158","29,114","-4,256","-5.70655","44","0.15113","94.90868","240.27","292.7"
"2025000000","","2025年","10209","","藤岡市","","63,261","25,155","25,362","-3,876","-6.12700","-207","-0.81618","94.48174","180.29","329.4"
"2025000000","","2025年","10210","","富岡市","","47,446","18,111","18,514","-3,657","-7.70771","-403","-2.17673","97.02587","122.85","356.4"
"2025000000","","2025年","10211","","安中市","","54,907","21,682","22,093","-4,203","-7.65476","-411","-1.86032","96.36730","276.31","183.5"
"2025000000","","2025年","10212","","みどり市","","49,648","19,362","19,443","-1,450","-2.92056","-81","-0.41660","94.09633","208.42","231.3"
